Periodo,USD/CLP,11 month expected MPR,Ex-Ante Real Rate,M1,M2,REER,Oil Price,Core CPI M/M_sa,Overall PPI_sa,Manufacturing PPI_sa,Mining PPI_sa,Utilities PPI_sa,Agri PPI_sa,IMACEC Total_sa,IMACEC Production of Goods_sa,IMACEC Commerce_sa,IMACEC Services_sa,IMACEC Factor Cost_sa,Real Wage Growth m/m_sa,Labor Cost m/m_sa,Nominal Wage Growth m/m_sa,Unemployment Rate_sa,Headline CPI_sa
2017-09-01,-0.029,2.5,-0.2,0.011,0.019,-0.009,0.085,0.10894395319824077,0.020674173052828922,-0.009192125181832317,0.06312906031184382,0.0008050986297535923,-0.010365546776766417,0.007866594711793469,0.018379832988962085,0.014888972429058967,0.0026824387983607617,0.008143676531133473,0.3181197159945906,0.5749176814571229,0.553748888985802,6.668022629876608,0.27936564815774934
2017-10-01,0.006,2.5,0.0,0.007,0.0,-0.015,0.022,0.2761554717805949,-0.005777901329266891,-0.0030562545087604253,-0.014924195934702962,0.002467512786706886,-0.011243019717644586,0.0028707128435088852,-0.0004002719870316168,0.019456562582929268,0.004775016087377959,0.002585244404877153,0.17833183787215656,0.4095004097023961,0.3180311891972666,6.876883323807468,-0.2665429515535602
2017-11-01,0.007,2.75,0.0,0.009,0.007,-0.007,0.093,0.06341962673325907,0.018871144444180064,0.009956117208613523,0.021942896607809778,0.0039584123625888215,-0.0016372884595792993,0.008425937599784265,0.010843253272890277,0.024459647263111374,0.005931361367071522,0.00845268789656721,0.16770200835553023,0.46730765114457606,0.5252166374205679,7.030437175060173,0.3843788413729332
2017-12-01,0.005,2.75,-0.2,0.054,0.014,0.008,0.024,0.1877287334950314,0.011744982770728198,0.005771627612547227,0.024798186171683754,0.009345431514872524,-0.00543583072394907,0.009656654123882419,0.0006925037607369011,0.030646093072897767,0.005743342352700999,0.005351057990177689,0.26495242137208297,0.5795123332172158,0.4740016926118463,7.045779297044912,0.26829890799336176
2018-01-01,-0.049,2.75,-0.1,0.006,0.007,0.01,0.076,0.2225354480687862,0.0038619241291170487,0.010811266584276504,0.00563115305185377,0.005711193704615188,-0.009103923732993211,0.000982847270979477,-0.003897330538033275,-0.027760916995607288,0.004369487057797106,0.0006527923321702489,-0.01756317465678392,0.32652253313893886,0.350043020747486,6.930786249976185,0.37154130969908994
2018-02-01,-0.014,2.75,-0.1,-0.007,-0.005,-0.036,-0.056,0.09893366635283524,-0.0009152118107793568,-0.002945580413108965,-0.005758885268165189,-0.00040339685497068744,0.0002908698800121734,0.010474200668800837,0.020281808397097274,0.02411014796354022,0.00618506006580366,0.013011164108619175,-0.039167080562778844,0.12165332712701099,0.256184046570031,7.148230351980738,0.22562109762514743
2018-03-01,0.011,2.75,-0.1,0.008,0.015,-0.003,0.012,0.18680550716373123,-0.006952319512748014,0.007626152589321755,-0.011968980312878807,0.0012309494226093428,-0.0031608981238991155,0.005015226108006192,0.007955050236732104,-0.012678275921217036,0.0044851053901919374,0.0030293539336720895,0.119174295338565,0.3138127071489164,0.30868424507784376,7.181864661328081,0.15007404463838506
2018-04-01,-0.005,2.75,-0.2,0.009,0.021,0.007,0.085,0.025720920148161214,-0.0011146228285658392,0.0011794674028261188,-0.0303905400527169,0.001496775306665205,-3.2567168672595695e-05,0.004106704955896268,0.007156978917781706,-0.00705687813035516,0.007901663158644101,0.0033808995663238695,0.04392146475462905,0.1742606804721949,0.06435572823097868,7.272494075987257,0.06627136049520171
2018-05-01,0.043,2.75,-0.3,0.018,0.01,-0.005,0.074,0.28639403155648824,0.007170555969398799,0.0005029400808729965,0.018927224448801645,0.0033409832008433615,-6.074581640992498e-05,0.0052793695191657025,0.013570602545464924,0.005111103303776989,0.006515707089055046,0.006377105242777906,0.16183293232285834,0.30917486737973354,0.34725932129163545,6.955880168209368,0.28310585006094274
2018-06-01,0.016,3.0,-0.4,0.012,0.013,0.021,-0.035,0.31680844268085573,0.022402715904373836,0.0028459121132717053,0.04598875843340172,0.004999165211537077,-0.00959477031213623,-0.0010047468125835674,-0.006559155184791311,-0.0032957302369882556,0.004337193922704832,-0.0014054027888656742,0.05964232993513757,0.4215685820681574,0.25121953349126735,7.22118448462948,0.3835842731433672
